dc.identifier.uri,item.collection
http://hdl.handle.net/11311/1000031,02.1 Contributo in Volume
http://hdl.handle.net/11311/1000033,02.1 Contributo in Volume
http://hdl.handle.net/11311/1000150,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1000222,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1000251,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1000307,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1000313,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1000316,02.1 Contributo in Volume
http://hdl.handle.net/11311/1000317,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1000318,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1000419,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1000566,02.1 Contributo in Volume
http://hdl.handle.net/11311/1000570,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1001243,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1001252,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1001327,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1001444,02.1 Contributo in Volume
http://hdl.handle.net/11311/1001938,02.1 Contributo in Volume
http://hdl.handle.net/11311/1001939,02.1 Contributo in Volume
http://hdl.handle.net/11311/1001967,06.1 Curatela
http://hdl.handle.net/11311/1002472,02.1 Contributo in Volume
http://hdl.handle.net/11311/1002790,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1002813,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1002827,02.1 Contributo in Volume
http://hdl.handle.net/11311/1002912,05.1 Brevetto
http://hdl.handle.net/11311/1002993,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1003319,02.1 Contributo in Volume
http://hdl.handle.net/11311/1003330,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1003476,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1003493,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1003707,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1003807,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1003948,02.1 Contributo in Volume
http://hdl.handle.net/11311/1004058,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1004077,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1004158,02.1 Contributo in Volume
http://hdl.handle.net/11311/1004183,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1004203,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1004778,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1004805,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005056,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005063,03.1 Monografia o trattato scientifico
http://hdl.handle.net/11311/1005079,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005081,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005082,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005085,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005099,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005111,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005120,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1005136,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005156,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1005163,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1005169,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005170,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005171,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1005172,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005173,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005174,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005175,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005177,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1005189,01.1 Articolo in Rivista
http://hdl.handle.net/11311/1005214,04.1 Contributo in Atti di convegno
http://hdl.handle.net/11311/1005219,02.1 Contributo in Volume
http://hdl.handle.net/11311/1005220
